z_window,set_name,algorithm,seed,symbol,val_return_pct_full,val_return_pct_h1,val_return_pct_h2,val_min_half_return_pct,n_decisions_val,exposure_bars_val,exposure_ratio_val,n_trade_events_val,n_buys_val,n_sells_val,constraint_applied_ratio,min_hold_ratio,cooldown_ratio,raw_executed_mismatch_ratio,blocked_exit_ratio,blocked_entry_ratio,forced_singleton_ratio,decision_point_ratio,bandit_consulted_ratio,pending_update_queued_ratio
24,z24_a0p5_corr_pruned_top10,sw_lints,1166,SOLUSDT,-8.933637797657024,0.9417953028808324,-9.783294492540119,-9.783294492540119,2000,1069,0.5345,383,192,191,0.2325,0.1905,0.042,0.2325,0.1905,0.042,0.3835,0.6165,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,1266,BTCUSDT,-7.5623272372496775,-3.159045110107639,-4.5469214261141255,-4.5469214261141255,2000,1153,0.5765,372,186,186,0.1875,0.1465,0.041,0.1875,0.1465,0.041,0.372,0.628,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,1266,ETHUSDT,-5.13441805736271,0.9597771937471578,-6.0362605985300295,-6.0362605985300295,2000,1086,0.543,412,206,206,0.256,0.2005,0.0555,0.256,0.2005,0.0555,0.412,0.588,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,1266,SOLUSDT,-9.375561330325377,0.544959110303167,-9.866750683885817,-9.866750683885817,2000,1072,0.536,372,186,186,0.2045,0.1685,0.036,0.2045,0.1685,0.036,0.3715,0.6285,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,1366,BTCUSDT,-6.420830220092711,0.4391496152384988,-6.829985978187148,-6.829985978187148,2000,1164,0.582,366,183,183,0.197,0.159,0.038,0.197,0.159,0.038,0.366,0.634,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,1366,ETHUSDT,-12.195295428619612,-4.416049753674001,-8.13865262410478,-8.13865262410478,2000,1104,0.552,382,191,191,0.223,0.1775,0.0455,0.223,0.1775,0.0455,0.382,0.618,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,1366,SOLUSDT,-8.249766090763245,-0.145693062900365,-8.115897327260813,-8.115897327260813,2000,1070,0.535,387,194,193,0.224,0.183,0.041,0.224,0.183,0.041,0.3875,0.6125,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,1466,BTCUSDT,-3.927767407192173,-1.4865708141978184,-2.4780343280814243,-2.4780343280814243,2000,1186,0.593,360,180,180,0.17,0.1325,0.0375,0.17,0.1325,0.0375,0.36,0.64,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,1466,ETHUSDT,-13.47533356369195,-4.397040148567976,-9.495828820814467,-9.495828820814467,2000,1112,0.556,415,208,207,0.2535,0.2005,0.053,0.2535,0.2005,0.053,0.4145,0.5855,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,1466,SOLUSDT,-9.686888606558941,-1.1552030714497952,-8.63139568314988,-8.63139568314988,2000,1065,0.5325,405,203,202,0.2545,0.205,0.0495,0.2545,0.205,0.0495,0.4055,0.5945,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,1566,BTCUSDT,-5.59424586031999,-2.8615116448443167,-2.8132352703331254,-2.8615116448443167,2000,1185,0.5925,376,188,188,0.211,0.169,0.042,0.211,0.169,0.042,0.376,0.624,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,1566,ETHUSDT,-12.701745795570208,-3.255112840493357,-9.764477723253595,-9.764477723253595,2000,1100,0.55,405,203,202,0.242,0.192,0.05,0.242,0.192,0.05,0.4055,0.5945,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,1566,SOLUSDT,-6.464151367088822,3.287480422443201,-9.4412524631718,-9.4412524631718,2000,1034,0.517,379,190,189,0.241,0.1925,0.0485,0.241,0.1925,0.0485,0.3795,0.6205,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,1666,BTCUSDT,-3.159050936753627,-0.7347072736005211,-2.4422873257778255,-2.4422873257778255,2000,1168,0.584,352,176,176,0.18,0.141,0.039,0.18,0.141,0.039,0.3515,0.6485,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,1666,ETHUSDT,-13.099200583633419,-3.847955795145974,-9.621474889059522,-9.621474889059522,2000,1071,0.5355,420,210,210,0.274,0.223,0.051,0.274,0.223,0.051,0.42,0.58,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,1666,SOLUSDT,-4.977046092693971,3.0291483049890155,-7.77080518416291,-7.77080518416291,2000,1032,0.516,385,193,192,0.243,0.1955,0.0475,0.243,0.1955,0.0475,0.3855,0.6145,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,1766,BTCUSDT,-4.822520017308218,-2.0752430662960286,-2.8054978506325323,-2.8054978506325323,2000,1158,0.579,360,180,180,0.183,0.143,0.04,0.183,0.143,0.04,0.3595,0.6405,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,1766,ETHUSDT,-11.827440075232731,-3.2725947717688553,-8.844282841329687,-8.844282841329687,2000,1064,0.532,404,202,202,0.25,0.1965,0.0535,0.25,0.1965,0.0535,0.404,0.596,1.0,0.995
24,z24_a0p5_corr_pruned_top10,sw_lints,1766,SOLUSDT,-10.073615223873789,-0.42208353519554986,-9.692441890054548,-9.692441890054548,2000,1047,0.5235,403,202,201,0.271,0.2215,0.0495,0.271,0.2215,0.0495,0.4035,0.5965,1.0,0.995
