feature,n_samples,n_bins_used,hie_raw,hie_observed,hie_null_mean,hie_null_std,hie_norm,hie_p_value,global_best_action,global_best_value,global_action_0_success,global_action_1_success,action_0_count,action_1_count,min_bin_size_used,min_action_count_in_bin,reason,hie_rank,prev_position,regime
body_sqrt_z,33984,15,-1.1102230246251565e-16,0.4941737288135592,0.49415631376776437,7.421367773953106e-05,1.7415045794832995e-05,0.4,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,43.0,1,exit_hold
log_ret_6_z,33984,15,-5.551115123125783e-17,0.49417372881355925,0.4941694116250044,6.629138489556792e-05,4.317188554869844e-06,0.4666666666666667,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,44.0,1,exit_hold
ema_slope_200_z,33984,15,-5.551115123125783e-17,0.49417372881355925,0.4941741261454461,8.45209520910963e-05,-3.9733188683666043e-07,0.43333333333333335,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,45.0,1,exit_hold
price_pos_in_range_24_norm,33984,15,-5.551115123125783e-17,0.49417372881355925,0.4941775571139975,9.069472151324555e-05,-3.828300438268872e-06,0.5333333333333333,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,46.0,1,exit_hold
vol_ratio_24_log1p_z,33984,15,-5.551115123125783e-17,0.49417372881355925,0.49418209632470383,8.5974178785832e-05,-8.36751114458023e-06,0.4666666666666667,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,47.0,1,exit_hold
log_ret_24_z,33984,15,-1.1102230246251565e-16,0.4941737288135592,0.49418692900791505,7.145955800949253e-05,-1.3200194355855732e-05,0.6,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,48.0,1,exit_hold
dist_to_low_72_sqrt_z,33984,15,0.0,0.4941737288135593,0.49418999553625226,7.402135528489683e-05,-1.6266722692948044e-05,0.7,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,49.0,1,exit_hold
ema_spread_21_50_z,33984,15,5.551115123125783e-17,0.49417372881355937,0.4941929213190997,7.12647200449379e-05,-1.9192505540333027e-05,0.6666666666666666,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,50.0,1,exit_hold
dist_to_high_72_sqrt_z,33984,15,-5.551115123125783e-17,0.49417372881355925,0.49420025803201423,0.00013069526409229324,-2.652921845497369e-05,0.6666666666666666,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,51.0,1,exit_hold
dist_ema_50_z,33984,15,-5.551115123125783e-17,0.49417372881355925,0.49420247628248026,0.00013342219386704626,-2.8747468921008767e-05,0.4666666666666667,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,52.0,1,exit_hold
ema_slope_9_z,33984,15,-5.551115123125783e-17,0.49417372881355925,0.49421620885212786,0.00013034585469801115,-4.248003856860416e-05,0.5666666666666667,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,53.0,1,exit_hold
vol_expansion_168_log1p_z,33984,15,1.1102230246251565e-16,0.4941737288135594,0.4942292495767654,0.00012404865034528072,-5.552076320597399e-05,0.7333333333333333,1,0.4941737288135593,0.4322033898305085,0.4941737288135593,16992,16992,2264,1132,ok,54.0,1,exit_hold
