feature,n_samples,n_bins_used,hie_raw,hie_observed,hie_null_mean,hie_null_std,hie_norm,hie_p_value,global_best_action,global_best_value,global_action_0_success,global_action_1_success,action_0_count,action_1_count,min_bin_size_used,min_action_count_in_bin,reason,hie_rank,prev_position,regime
bb_width_20_sqrt_z,33984,15,0.0028248587570620654,0.5076506591337099,0.5049376321019524,0.00032005558070427115,0.0027130270317574645,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,30.0,0,entry
ema_slope_100_z,33984,15,0.0027071563088510997,0.5075329566854989,0.504863645046241,0.00018550568445307512,0.0026693116392578764,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,31.0,0,entry
ret_accel_72_168_z,33984,15,0.0027071563088512107,0.507532956685499,0.5048853432575311,0.00024014547513103438,0.002647613427967932,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,32.0,0,entry
vol_ratio_168_log1p_z,33984,15,0.002177495291902143,0.50700329566855,0.5048213393129194,6.968037660189235e-05,0.0021819563556305654,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,33.0,0,entry
ema_spread_50_100_z,33984,15,0.002059792843691177,0.506885593220339,0.504832326042621,8.240759161866153e-05,0.0020532671777180322,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,34.0,0,entry
vol_ratio_24_log1p_z,33984,15,0.002000941619585639,0.5068267419962335,0.504862137614279,0.00017281610435870688,0.001964604381954449,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,35.0,0,entry
dist_to_high_168_sqrt_z,33984,15,0.0019420903954802116,0.506767890772128,0.5048606085721145,0.00023229465151347297,0.0019072822000135714,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,36.0,0,entry
price_pos_in_range_24_norm,33984,15,0.0018832391713747842,0.5067090395480226,0.5049394592016602,0.00030650189226936157,0.0017695803463624316,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,37.0,0,entry
price_pos_in_range_72_norm,33984,15,0.0017066854990582803,0.5065324858757061,0.5048344285265209,6.993229999234015e-05,0.0016980573491851558,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,38.0,0,entry
log_ret_24_z,33984,15,0.0015301318267419983,0.5063559322033898,0.5048359511921481,8.524726910240981e-05,0.0015199810112417333,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,39.0,0,entry
dist_to_low_168_sqrt_z,33984,15,0.0015301318267419983,0.5063559322033898,0.5049479939822346,0.00038791720796446964,0.0014079382211552582,0.03333333333333333,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,40.0,0,entry
MOM_pct_72_z,33984,15,0.0012358757062146397,0.5060616760828625,0.5048306486432377,6.407842279950816e-05,0.0012310274396247767,0.0,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,41.0,0,entry
dist_ema_50_z,33984,15,0.0012358757062147507,0.5060616760828626,0.5049490845834579,0.00046145595156694036,0.0011125914994046804,0.06666666666666667,0,0.5048258003766478,0.5048258003766478,0.4545668549905838,16992,16992,2264,1132,ok,42.0,0,entry
