z_window,set_name,algorithm,seed,seed_dro_score,dro_alpha,seed_dro_min_aggregate_half,mean_symbol_val_full,mean_symbol_val_h1,mean_symbol_val_h2,median_symbol_val_full,median_symbol_val_h1,median_symbol_val_h2,median_symbol_per_symbol_min_half,median_exposure_bars_val,median_exposure_ratio_val,median_n_trade_events_val,mean_constraint_applied_ratio,mean_min_hold_ratio,mean_cooldown_ratio,mean_raw_executed_mismatch_ratio,mean_blocked_exit_ratio,mean_blocked_entry_ratio,mean_forced_singleton_ratio,mean_decision_point_ratio,mean_bandit_consulted_ratio,mean_pending_update_queued_ratio
24,z24_a0p5_corr_pruned_top10,discounted_lints,1166,-5.3698540583489205,0.5,-6.408398486916648,-8.526818120530955,-2.254220772645736,-6.408398486916648,-8.680416540373859,-1.9673958402028124,-6.8477429093167235,-6.8477429093167235,1142.0,0.571,418.0,0.4031666666666667,0.30250000000000005,0.10066666666666667,0.0,0.0,0.0,0.4031666666666667,0.5968333333333332,0.5968333333333332,0.5936666666666667
24,z24_a0p5_corr_pruned_top10,discounted_lints,1266,-4.542460850067387,0.5,-5.578341448237008,-6.95169660963985,-1.434819055558523,-5.578341448237008,-5.389638492298721,-2.5939668086104706,-6.883555846149337,-6.883555846149337,1136.0,0.568,392.0,0.39566666666666667,0.29683333333333334,0.09883333333333333,0.0,0.0,0.0,0.39566666666666667,0.6043333333333333,0.6043333333333333,0.6021666666666666
24,z24_a0p5_corr_pruned_top10,discounted_lints,1366,-3.2651217012857616,0.5,-3.446366221606841,-6.070639112171375,-2.7213881403225226,-3.446366221606841,-4.781498574345111,-2.025287025633593,-3.676282452703794,-3.676282452703794,1151.0,0.5755,396.0,0.4045,0.3035,0.10100000000000002,0.0,0.0,0.0,0.4045,0.5954999999999999,0.5954999999999999,0.5921666666666666
24,z24_a0p5_corr_pruned_top10,discounted_lints,1466,-4.721746000287736,0.5,-5.321453480477811,-8.078875725400865,-2.9226235597175076,-5.321453480477811,-8.668032528330338,-2.6540679218435947,-5.813097717493287,-5.813097717493287,1179.0,0.5895,410.0,0.4071666666666667,0.3055,0.10166666666666667,0.0,0.0,0.0,0.4071666666666667,0.5928333333333332,0.5928333333333332,0.59
24,z24_a0p5_corr_pruned_top10,discounted_lints,1566,-4.592993294360101,0.5,-4.948118724766242,-8.305449686109279,-3.527617003141677,-4.948118724766242,-7.899718150477186,-3.5575921202216865,-4.502299481850603,-4.502299481850603,1157.0,0.5785,409.0,0.407,0.30550000000000005,0.10149999999999999,0.0,0.0,0.0,0.407,0.593,0.593,0.5911666666666666
24,z24_a0p5_corr_pruned_top10,discounted_lints,1666,-3.8532609207056145,0.5,-4.207975766069616,-6.876163342089576,-2.7891163846136102,-4.207975766069616,-7.097622675760162,-3.0178288768320516,-4.206746200543132,-4.206746200543132,1146.0,0.573,394.0,0.4003333333333334,0.30033333333333334,0.10000000000000002,0.0,0.0,0.0,0.4003333333333334,0.5996666666666667,0.5996666666666667,0.5970000000000001
24,z24_a0p5_corr_pruned_top10,discounted_lints,1766,-3.3818652068730284,0.5,-3.6711195837039896,-6.128950066063133,-2.514102076380146,-3.6711195837039896,-5.751307531892225,-1.0981966268926113,-4.145192908372075,-5.252167005119213,1094.0,0.547,420.0,0.42316666666666664,0.31749999999999995,0.10566666666666667,0.0,0.0,0.0,0.42316666666666664,0.5768333333333334,0.5768333333333334,0.5741666666666666
24,z24_a0p5_corr_pruned_top10,discounted_lints,1866,-2.2285751883808222,0.5,-2.608483137992268,-3.6805058063632767,-1.0888513395464854,-2.608483137992268,-3.2266738003303597,-1.0006094593101866,-1.2776648166065274,-1.9742330649930584,1152.0,0.576,398.0,0.4073333333333333,0.3056666666666667,0.10166666666666667,0.0,0.0,0.0,0.4073333333333333,0.5926666666666667,0.5926666666666667,0.59
24,z24_a0p5_corr_pruned_top10,discounted_lints,1966,-5.871221913895413,0.5,-7.8854763657637745,-7.77327579260496,0.1715414417096698,-7.8854763657637745,-5.4291175344707625,-0.09470883765394511,-4.955450366850423,-4.955450366850423,1140.0,0.57,411.0,0.41283333333333333,0.30983333333333335,0.103,0.0,0.0,0.0,0.41283333333333333,0.5871666666666667,0.5871666666666667,0.5848333333333334
24,z24_a0p5_corr_pruned_top10,discounted_lints,2066,-5.323361876464398,0.5,-6.195672795463891,-8.73298907860237,-2.7064291194659216,-6.195672795463891,-8.727307987241362,-2.4780925476265314,-6.174004696155189,-6.174004696155189,1170.0,0.585,400.0,0.39799999999999996,0.29866666666666664,0.09933333333333334,0.0,0.0,0.0,0.39799999999999996,0.602,0.602,0.5996666666666667
