z_window,set_name,algorithm,seed,symbol,val_return_pct_full,val_return_pct_h1,val_return_pct_h2,val_min_half_return_pct,n_decisions_val,exposure_bars_val,exposure_ratio_val,n_trade_events_val,n_buys_val,n_sells_val,constraint_applied_ratio,min_hold_ratio,cooldown_ratio,raw_executed_mismatch_ratio,blocked_exit_ratio,blocked_entry_ratio,forced_singleton_ratio,decision_point_ratio,bandit_consulted_ratio,pending_update_queued_ratio
72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,2614,BTCUSDT,-3.6187450702584223,-1.3494249080978071,-2.300361817502372,-2.300361817502372,2000,1060,0.53,312,156,156,0.3115,0.234,0.0775,0.0,0.0,0.0,0.3115,0.6885,0.6885,0.6835
72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,2614,ETHUSDT,-6.477245571614465,-1.5253570785379256,-5.028592484489525,-5.028592484489525,2000,907,0.4535,283,142,141,0.2835,0.213,0.0705,0.0,0.0,0.0,0.2835,0.7165,0.7165,0.7135
72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,2614,SOLUSDT,-9.409042305733916,-2.364475903823793,-7.215167293997271,-7.215167293997271,2000,885,0.4425,353,177,176,0.3535,0.2655,0.088,0.0,0.0,0.0,0.3535,0.6465,0.6465,0.6415
72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,2714,BTCUSDT,-7.172643978028459,-2.639130186664007,-4.656402310349406,-4.656402310349406,2000,1042,0.521,323,162,161,0.3235,0.243,0.0805,0.0,0.0,0.0,0.3235,0.6765,0.6765,0.675
72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,2714,ETHUSDT,-12.073615439705886,-3.053870326702457,-9.303873340172963,-9.303873340172963,2000,959,0.4795,251,126,125,0.2515,0.189,0.0625,0.0,0.0,0.0,0.2515,0.7485,0.7485,0.7455
72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,2714,SOLUSDT,-6.241858102514842,-2.0166001787614074,-4.312218122112532,-4.312218122112532,2000,988,0.494,325,163,162,0.3255,0.2445,0.081,0.0,0.0,0.0,0.3255,0.6745,0.6745,0.6695
72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,2814,BTCUSDT,-9.944691758580914,-4.966272692455609,-5.2385812986313285,-5.2385812986313285,2000,967,0.4835,311,156,155,0.3115,0.234,0.0775,0.0,0.0,0.0,0.3115,0.6885,0.6885,0.685
72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,2814,ETHUSDT,-2.4711074291078883,0.3141007172596133,-2.7764871802198,-2.7764871802198,2000,967,0.4835,353,177,176,0.3535,0.2655,0.088,0.0,0.0,0.0,0.3535,0.6465,0.6465,0.6435
72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,2814,SOLUSDT,-1.854119847879443,2.0089951737824796,-3.787033697450626,-3.787033697450626,2000,966,0.483,333,167,166,0.3335,0.2505,0.083,0.0,0.0,0.0,0.3335,0.6665,0.6665,0.6615
72,z72_a0p5_hybrid_corr5_bsstablehie5_top10,sw_lints,2914,BTCUSDT,-10.343914231095718,-2.4977845012132627,-8.047129688022414,-8.047129688022414,2000,1157,0.5785,359,180,179,0.3595,0.27,0.0895,0.0,0.0,0.0,0.3595,0.6405,0.6405,0.639
