seed,n_symbols,seed_dro_score,dro_alpha,seed_dro_min_aggregate_half,mean_symbol_h1_return_pct,mean_symbol_h2_return_pct,mean_symbol_full_return_pct,median_symbol_full_return_pct,median_drawdown_abs,max_drawdown_abs,median_profit_factor,total_trades,min_symbol_trades,mean_executed_action_1_ratio,mean_constraint_applied_ratio,mean_forced_singleton_ratio,mean_decision_point_ratio,mean_bandit_consulted_ratio,mean_pending_update_queued_ratio,median_holding_bars,mean_holding_bars,p25_holding_bars,p75_holding_bars,share_trades_closed_before_horizon,share_trades_closed_after_horizon,median_time_between_entries,trial_number,bandit_name,method_group,set_name,z_window
3142,3,-5.018303065554459,0.5,-5.687272358559259,-3.0113951865400597,-5.687272358559259,-8.551551748231587,-8.224475596488379,8.47095572360862,12.012671382810758,0.6074294525855192,526,168,0.5323333333333333,0.35050000000000003,0.35750000000000004,0.6425,0.6425,0.64,4.0,6.148809523809524,4.0,6.0,0.8511904761904762,0.1488095238095238,8.5,4,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3143,3,-5.9891891142536355,0.5,-7.034275563465871,-2.8539297666169254,-7.034275563465871,-9.728349894933325,-10.911031976044738,12.544229749827041,14.037488779641215,0.6371019424067856,565,180,0.5336666666666666,0.3766666666666667,0.37150000000000005,0.6285,0.6285,0.6255,4.0,5.6,4.0,5.0,0.8870967741935484,0.11290322580645161,8.0,4,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3144,3,-4.178186691618906,0.5,-4.845428106157075,-2.1764624480043975,-4.845428106157075,-6.926452061962628,-6.218808723119029,9.829331187658452,11.73965787074448,0.6680411328941391,534,149,0.5265,0.3561666666666667,0.372,0.628,0.628,0.623,4.0,5.437185929648241,4.0,5.0,0.8944723618090452,0.10552763819095477,8.0,4,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3145,3,-2.1440357590708565,0.5,-2.3900112183755686,-1.406109381156721,-2.3900112183755686,-3.760123525117072,-3.3138537386850797,6.335222780439798,10.60097550334148,0.7837643948320483,511,155,0.5458333333333333,0.3411666666666666,0.35,0.65,0.65,0.645,4.0,6.303867403314917,4.0,6.0,0.8709677419354839,0.12903225806451613,9.0,4,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3146,3,-4.870538613567955,0.5,-6.018880628601123,-1.4255125684684493,-6.018880628601123,-7.362827122220456,-8.680249730388622,10.743354759820145,11.872068727876151,0.6862125415674746,561,154,0.5416666666666666,0.37399999999999994,0.398,0.602,0.602,0.5995,4.0,5.271356783919598,4.0,5.0,0.9230769230769231,0.07692307692307693,7.0,4,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3142,3,-5.550082533913409,0.5,-6.60804773355916,-2.376186934976158,-6.60804773355916,-8.85929080804219,-7.845524390082204,10.046076981944251,11.140013658516768,0.6496484062249166,561,175,0.5203333333333333,0.3741666666666667,0.358,0.642,0.642,0.639,4.0,5.72,4.0,6.0,0.9028571428571428,0.09714285714285714,8.0,5,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3143,3,-5.01107738805708,0.5,-5.5814314755962835,-3.3000151254394705,-5.5814314755962835,-8.70559684303737,-8.486446304435702,11.497186306338481,14.806414458916638,0.6529557975659626,548,157,0.5466666666666667,0.36566666666666664,0.38949999999999996,0.6105,0.6105,0.608,4.0,5.630769230769231,4.0,5.0,0.9076923076923077,0.09230769230769231,8.0,5,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3144,3,-5.355943309217224,0.5,-6.616353922321172,-1.5747114699053804,-6.616353922321172,-8.083570811328604,-8.776174530518176,9.7989227910535,13.216614596352294,0.7009421676466627,553,165,0.5463333333333334,0.36933333333333335,0.372,0.628,0.628,0.6255,4.0,5.989247311827957,4.0,6.0,0.8606060606060606,0.1393939393939394,8.0,5,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3145,3,-4.042829106818049,0.5,-5.212040176636723,-0.5351958973620249,-5.212040176636723,-5.693832752654992,-5.037334470094601,9.16446080862665,11.320691663079774,0.7770850340167696,544,172,0.512,0.3626666666666667,0.35450000000000004,0.6455,0.6455,0.641,4.0,5.677966101694915,4.0,5.0,0.8923076923076924,0.1076923076923077,8.0,5,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3146,3,-5.479513202039501,0.5,-6.272367907774838,-3.10094908483349,-6.272367907774838,-9.17024428780328,-10.730509481277029,10.730509481277917,12.6111093558001,0.559352832899309,560,172,0.5296666666666666,0.3735,0.362,0.638,0.638,0.6355,4.0,5.906077348066298,4.0,7.0,0.8950276243093923,0.10497237569060773,9.0,5,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3142,3,-3.032255377248525,0.5,-3.2975238881357147,-2.236449844586956,-3.2975238881357147,-5.429485106242342,-3.502530482568389,6.3643451648336065,12.425184320742522,0.834935248329222,537,157,0.5016666666666667,0.3578333333333334,0.362,0.638,0.638,0.6355,4.0,5.6464088397790055,4.0,5.0,0.8950276243093923,0.10497237569060773,8.0,6,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
3143,3,-5.441612669604128,0.5,-6.551173405381857,-2.1129304622709415,-6.551173405381857,-8.54104833265479,-8.068120728204942,10.317724248810855,12.069633236664245,0.6629907785294342,576,185,0.5051666666666667,0.3838333333333333,0.37949999999999995,0.6205,0.6205,0.619,4.0,5.231578947368421,4.0,5.0,0.9315789473684211,0.06842105263157895,8.0,6,discounted_lints,corr,z24_a0p5_corr_pruned_top10,24
