interval_minutes,symbol,z_window,series_kind,series_name,n_obs,n_unique,mean,std,adf_stat,adf_pvalue,adf_lags,kpss_stat,kpss_pvalue,kpss_lags,pp_stat,pp_pvalue,pp_lags,test_error,adf_reject_unit_root_5pct,kpss_reject_stationarity_5pct,kpss_not_reject_stationarity_5pct,both_stationary_5pct,stationarity_class
240,ETHUSDT,48,final_feature,ret_accel_72_168_z,5625,5618,0.013462432360683368,1.4685152835669724,-11.302953741935342,1.2939251907502166e-20,12,0.01071766716803438,0.1,42,-12.558828214587388,2.1247489835014443e-23,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,ETHUSDT,48,final_feature,vol_ratio_24_log1p_z,5625,5623,0.01036692958499198,1.046068368546163,-19.16270650979722,0.0,33,0.0059383813976556935,0.1,36,-42.30560009893494,0.0,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,ETHUSDT,48,final_feature,vol_ratio_72_log1p_z,5625,5616,0.014172864227069475,1.1072880575595927,-14.477096418258629,6.462718032332908e-27,33,0.01715937947913289,0.1,38,-48.40641664876215,0.0,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,ETHUSDT,48,final_feature,vol_ratio_168_log1p_z,5625,5614,0.004228251305633416,1.1044258838861654,-13.534659754480813,2.5815854034575237e-25,33,0.03153559626432993,0.1,37,-49.17628140478817,0.0,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,ETHUSDT,48,final_feature,range_sqrt_z,5625,5608,-0.013970998129357306,1.077177954087978,-14.10359284789188,2.592829601036822e-26,33,0.0220723365074225,0.1,35,-62.338811862363904,0.0,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,ETHUSDT,48,final_feature,body_sqrt_z,5625,5619,0.003920086907036225,1.0527297086300733,-14.214487147683702,1.699114947505302e-26,33,0.009656344524027121,0.1,26,-68.74098097708485,0.0,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,ETHUSDT,48,final_feature,vol_expansion_24_log1p_z,5625,5620,0.011637781861708467,1.047452534707837,-18.965447696614863,0.0,33,0.003349809199666388,0.1,32,-55.60116667174871,0.0,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,ETHUSDT,48,final_feature,vol_expansion_72_log1p_z,5625,5609,0.01098835072085424,1.089119120348589,-14.725635212791133,2.70889215238068e-27,33,0.0038610793506390693,0.1,36,-61.93925509654903,0.0,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,ETHUSDT,48,final_feature,vol_expansion_168_log1p_z,5625,5612,-0.001579185012635265,1.0855953424251332,-13.635041275085994,1.694691450791978e-25,33,0.012261775582768692,0.1,35,-62.96854480062504,0.0,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,ETHUSDT,48,final_feature,dist_to_high_24_sqrt_z,5625,5625,0.02136256152311799,1.257255144850227,-14.935430083783846,1.3468196569225476e-27,24,0.007387955451050369,0.1,40,-17.911246942229607,2.928996193902109e-30,33,,True,False,True,True,stationary_by_ADF_and_KPSS
