seed,n_symbols,seed_dro_score,dro_alpha,seed_dro_min_aggregate_half,mean_symbol_h1_return_pct,mean_symbol_h2_return_pct,mean_symbol_full_return_pct,median_symbol_full_return_pct,median_drawdown_abs,max_drawdown_abs,median_profit_factor,total_trades,min_symbol_trades,mean_executed_action_1_ratio,mean_constraint_applied_ratio,mean_forced_singleton_ratio,mean_decision_point_ratio,mean_bandit_consulted_ratio,mean_pending_update_queued_ratio,median_holding_bars,mean_holding_bars,p25_holding_bars,p75_holding_bars,share_trades_closed_before_horizon,share_trades_closed_after_horizon,median_time_between_entries,confirmation_seed,original_trial_number,confirmation_rank,bandit_name,method_group,set_name,z_window
8001,3,-4.016127585454519,0.5,-4.922786204317664,-1.2961517288650841,-4.922786204317664,-6.125750147505257,-7.606297470834244,9.62717955762713,12.005121950917975,0.6678775233468852,442,116,0.5306666666666667,0.1785,0.2915,0.7085,1.0,0.995,4.0,6.568493150684931,4.0,6.0,0.8424657534246576,0.15753424657534246,9.0,8001,6,3,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8002,3,-4.488561811989706,0.5,-5.736468979052785,-0.7448403108004727,-5.736468979052785,-6.456147578195332,-7.374307363921561,10.332816184191474,11.491461300617022,0.6795721727486013,426,121,0.5228333333333334,0.16116666666666668,0.27749999999999997,0.7225,1.0,0.995,4.0,6.949275362318841,4.0,6.0,0.8188405797101449,0.18115942028985507,9.0,8002,6,3,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8003,3,-3.2675369982963813,0.5,-3.729830912051483,-1.8806552570310757,-3.729830912051483,-5.516237900244081,-7.369361641749805,10.288249619845502,10.906002743831388,0.6786899291493083,416,123,0.5288333333333333,0.1505,0.27749999999999997,0.7225,1.0,0.995,4.0,6.877697841726619,4.0,7.0,0.7985611510791367,0.2014388489208633,9.0,8003,6,3,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8004,3,-3.1300250081515175,0.5,-3.7372804822385253,-1.3082585858904945,-3.7372804822385253,-4.995922439843544,-5.971155244815529,7.592988699371606,10.338699486004488,0.7257081806599758,428,129,0.5213333333333333,0.17666666666666667,0.27749999999999997,0.7225,1.0,0.995,4.0,6.76978417266187,4.0,6.0,0.8345323741007195,0.16546762589928057,9.0,8004,6,3,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8005,3,-3.1375805853937706,0.5,-3.9337132431046307,-0.74918261226119,-3.9337132431046307,-4.645909917431279,-6.148937094525142,8.944466370415094,9.013993257372633,0.7306771178008237,422,121,0.5231666666666667,0.16783333333333336,0.27149999999999996,0.7285,1.0,0.995,4.0,6.985294117647059,4.0,6.25,0.8014705882352942,0.19852941176470587,10.0,8005,6,3,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8006,3,-4.54402193569468,0.5,-5.198975149866103,-2.5791622931804077,-5.198975149866103,-7.652495403689275,-8.777465763505067,11.536681487693578,11.905379740558164,0.6473377946618399,435,128,0.5241666666666666,0.1765,0.264,0.736,1.0,0.995,4.0,7.409090909090909,4.0,6.25,0.803030303030303,0.19696969696969696,9.0,8006,6,3,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8007,3,-3.695210469701279,0.5,-4.727162935849079,-0.5993530712578798,-4.727162935849079,-5.302676552421633,-5.679746935912123,7.580550944439645,8.49619880848833,0.7403090263607958,431,124,0.5185,0.1691666666666667,0.27349999999999997,0.7265,1.0,0.995,4.0,6.934306569343065,4.0,7.0,0.8029197080291971,0.19708029197080293,10.0,8007,6,3,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8008,3,-3.9940041044950174,0.5,-5.0546568799635665,-0.812045778089369,-5.0546568799635665,-5.8059429333510595,-7.527894843966942,9.362634029792583,9.42136725844691,0.6659062032347738,422,130,0.5308333333333334,0.15916666666666668,0.26349999999999996,0.7365,1.0,0.995,4.0,7.28030303030303,4.0,7.0,0.8106060606060606,0.1893939393939394,9.0,8008,6,3,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8009,3,-3.717818306362214,0.5,-4.574579839298254,-1.1475337075540937,-4.574579839298254,-5.667972631566225,-5.9928665690172185,8.937865741189032,9.360197443768847,0.7121893898417876,441,131,0.5183333333333333,0.17033333333333334,0.2855,0.7145,1.0,0.995,4.0,6.608391608391608,4.0,6.0,0.8391608391608392,0.16083916083916083,9.0,8009,6,3,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8010,3,-4.224117220639808,0.5,-5.388646826872993,-0.7305284019402558,-5.388646826872993,-6.081235562164767,-7.582581968105117,9.891358565419727,9.910550583691446,0.6879815283789379,467,139,0.5115,0.19816666666666669,0.2995,0.7005,1.0,0.995,4.0,6.173333333333333,4.0,5.0,0.86,0.14,8.0,8010,6,3,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
