symbol,z_window,feature_1,feature_2,corr_method,abs_corr
SOLUSDT,24,bb_pos_20_norm,price_pos_in_range_24_norm,spearman,0.913545662217978
SOLUSDT,24,dist_ema_50_z,dist_ema_200_z,spearman,0.9132049533603612
SOLUSDT,24,RSI_14_bounded,bb_pos_20_norm,spearman,0.912519570695651
SOLUSDT,24,ema_slope_200_z,ema_spread_21_50_z,spearman,0.9065456777905037
SOLUSDT,24,ema_slope_9_z,MACD_hist_pct_z,spearman,0.9057610588911982
SOLUSDT,24,dist_ema_50_z,ema_spread_9_21_z,spearman,0.9054496697170346
SOLUSDT,24,vol_ratio_24_log1p_z,vol_ratio_168_log1p_z,spearman,0.9034230692832137
SOLUSDT,24,dist_ema_100_z,bb_pos_20_norm,spearman,0.8984417610506507
SOLUSDT,24,dist_ema_9_z,log_ret_6_z,spearman,0.8966357818238845
SOLUSDT,24,ema_slope_50_z,ema_slope_200_z,spearman,0.8945542353509401
SOLUSDT,24,RSI_30_bounded,RSI_72_bounded,spearman,0.8876752389494282
SOLUSDT,24,ema_slope_50_z,ema_spread_21_50_z,spearman,0.8777649285764243
SOLUSDT,24,dist_ema_200_z,ema_slope_200_z,spearman,0.8721847341491461
SOLUSDT,24,dist_ema_200_z,price_pos_in_range_24_norm,spearman,0.8676730375259274
SOLUSDT,24,ema_slope_100_z,dist_ema_200_z,spearman,0.866196862979703
SOLUSDT,24,ema_slope_50_z,dist_ema_100_z,spearman,0.865251246667055
SOLUSDT,24,dist_ema_21_z,MOM_pct_14_z,spearman,0.8646361472826647
SOLUSDT,24,dist_ema_100_z,ema_slope_100_z,spearman,0.8639723283192874
SOLUSDT,24,dist_ema_100_z,ema_spread_9_21_z,spearman,0.8630606800744475
SOLUSDT,24,ema_slope_9_z,ema_spread_9_21_z,spearman,0.8609505039928117
SOLUSDT,24,ema_slope_21_z,dist_ema_50_z,spearman,0.8587604268961035
SOLUSDT,24,ema_slope_100_z,ema_spread_9_21_z,spearman,0.856762133856301
SOLUSDT,24,dist_ema_50_z,bb_pos_20_norm,spearman,0.8563867787939516
SOLUSDT,24,dist_ema_21_z,dist_ema_100_z,spearman,0.8530524317762329
SOLUSDT,24,ema_spread_9_21_z,log_ret_24_z,spearman,0.8512469584159073
SOLUSDT,24,dist_ema_50_z,ema_slope_50_z,spearman,0.8507503489618825
XRPUSDT,24,MOM_pct_72_z,log_ret_72_z,spearman,0.9999568850017541
XRPUSDT,24,range_sqrt_z,vol_expansion_168_log1p_z,spearman,0.9965586042021285
XRPUSDT,24,vol_expansion_72_log1p_z,vol_expansion_168_log1p_z,spearman,0.988363476488149
XRPUSDT,24,vol_ratio_72_log1p_z,vol_ratio_168_log1p_z,spearman,0.9858841383412058
XRPUSDT,24,range_sqrt_z,vol_expansion_72_log1p_z,spearman,0.9856807967499948
XRPUSDT,24,dist_ema_100_z,dist_ema_200_z,spearman,0.984366485252316
XRPUSDT,24,ema_slope_100_z,ema_slope_200_z,spearman,0.9818472793833066
XRPUSDT,24,dist_ema_50_z,dist_ema_100_z,spearman,0.9731054655502716
XRPUSDT,24,ema_slope_21_z,ema_spread_9_21_z,spearman,0.973015534771176
XRPUSDT,24,ema_slope_50_z,ema_slope_100_z,spearman,0.9695128332306111
XRPUSDT,24,ema_slope_50_z,ema_spread_9_21_z,spearman,0.9428727438942335
XRPUSDT,24,vol_expansion_24_log1p_z,vol_expansion_72_log1p_z,spearman,0.9400543288686012
XRPUSDT,24,ema_slope_100_z,ema_spread_21_50_z,spearman,0.936379057288846
XRPUSDT,24,dist_ema_21_z,dist_ema_50_z,spearman,0.9317820235018073
XRPUSDT,24,vol_expansion_24_log1p_z,vol_expansion_168_log1p_z,spearman,0.9306024660973418
XRPUSDT,24,dist_ema_50_z,dist_ema_200_z,spearman,0.9305061360411484
XRPUSDT,24,range_sqrt_z,vol_expansion_24_log1p_z,spearman,0.9271179201994635
XRPUSDT,24,dist_ema_200_z,bb_pos_20_norm,spearman,0.9270149029824029
XRPUSDT,24,vol_ratio_24_log1p_z,vol_ratio_72_log1p_z,spearman,0.9251931839944945
XRPUSDT,24,ema_slope_200_z,ema_spread_21_50_z,spearman,0.9234897814168763
XRPUSDT,24,ema_slope_50_z,ema_slope_200_z,spearman,0.9232347108078303
XRPUSDT,24,ema_slope_21_z,ema_slope_50_z,spearman,0.922822195853649
XRPUSDT,24,dist_ema_9_z,dist_ema_21_z,spearman,0.9185576806105269
XRPUSDT,24,ema_slope_9_z,ema_slope_21_z,spearman,0.9172334496558654
XRPUSDT,24,vol_ratio_24_log1p_z,vol_ratio_168_log1p_z,spearman,0.9100723035918922
XRPUSDT,24,RSI_14_bounded,bb_pos_20_norm,spearman,0.9094625558729147
XRPUSDT,24,dist_ema_100_z,bb_pos_20_norm,spearman,0.9084084461606519
