interval_minutes,interval_label,target,horizon_bars,horizon_hours,n,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,abs_mean,abs_median,abs_p75,abs_p95,positive_ratio,one_side_long_success_ratio,one_side_short_success_ratio,abs_move_gt_one_side_cost_ratio,abs_move_gt_round_trip_cost_ratio,abs_mean_to_one_side_cost,std_to_one_side_cost,timestamp_min,timestamp_max,symbol,source_file
60,60m,target_log_ret_horizon_1,1,1.0,22537,-2.461561000853411e-05,0.01044990207709656,-0.15588348220157305,-0.03016587057293556,-0.014360562390744205,-0.003642076239421999,0.0001168292541780718,0.003764527065383286,0.01331109514049722,0.030477420226005268,0.2041374776106496,0.006151807982792734,0.0037010260284359563,0.0074552316628703355,0.01980936389445366,0.5025069885077872,0.3205839286506634,0.31051160314150067,0.631095531792164,0.3878954607977992,2.457646005894514,4.174733700011591,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,DOGEUSDT,crypto_60m_bybit_TEST.parquet
60,60m,target_log_ret_horizon_3,3,3.0,22537,-7.479597823877601e-05,0.017768296218052745,-0.2195992965876808,-0.05047058663144455,-0.025024047276774323,-0.006305552563276872,0.00014163302905926924,0.006261416541572465,0.02369861529070003,0.052181210342487044,0.2796440085555562,0.010625111712342317,0.006286794301959967,0.012992031806647987,0.03460388000904926,0.5029507032879266,0.39113457869281626,0.3792430225850823,0.7703776012778986,0.5769179571371522,4.244729912744565,7.098430632749351,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,DOGEUSDT,crypto_60m_bybit_TEST.parquet
60,60m,target_log_ret_horizon_5,5,5.0,22537,-0.0001243265463516352,0.022522674130640925,-0.31452920178889215,-0.06290001362767939,-0.03300172580907242,-0.008381483397994717,0.0,0.00810377206310774,0.031045433179313645,0.06643006529754905,0.30349286577869666,0.013758217862442232,0.008232381275114291,0.0171356913994665,0.04497547001589584,0.49740426853618497,0.40914939876647294,0.4076407685139992,0.8167901672804722,0.6613568797976661,5.496405166161853,8.99780361709289,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,DOGEUSDT,crypto_60m_bybit_TEST.parquet
60,60m,target_log_ret_horizon_10,10,10.0,22537,-0.00024905154951517503,0.03135188531409719,-0.29862549529983734,-0.0881501014095038,-0.04504375039175966,-0.012712851792406178,-0.0002193463487627051,0.011592356205316599,0.04494264398733565,0.09256997152826368,0.45087042069596445,0.019689137527689467,0.012101128265925814,0.02517921744980144,0.06334133530285366,0.49305586369081955,0.4261436748458091,0.44225052136486664,0.8683941962106758,0.7545369836269246,7.865806335272953,12.525071643161828,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,DOGEUSDT,crypto_60m_bybit_TEST.parquet
60,60m,target_log_ret_horizon_24,24,24.0,22537,-0.0005969192294112491,0.048079250854065066,-0.3880829626476423,-0.1305888616939917,-0.0703988407712428,-0.022187914975362218,-0.0008656760026977636,0.018936345653977133,0.07115185753753903,0.14558643723592907,0.49752491175740154,0.03154008245894116,0.020594243526017665,0.04164297677550868,0.09678916733280248,0.48653325642277145,0.4488175001109287,0.47388738518880064,0.9227048852997294,0.8455872565115145,12.60025636327017,19.207650687148327,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,DOGEUSDT,crypto_60m_bybit_TEST.parquet
60,60m,target_log_ret_horizon_1,1,1.0,22537,-1.3357435368615074e-05,0.007262182096429295,-0.10484705528785146,-0.02272861238782999,-0.010418710166076976,-0.0026144775278744152,2.8362247787372395e-05,0.002709800566600933,0.010100277466821876,0.021321388745773384,0.0883327759602712,0.004452052096804771,0.0026621776225999767,0.005513855333126531,0.014469668526943522,0.5029063318099126,0.2642321515729689,0.25779828726094867,0.5220304388339175,0.2820694857345698,1.7785938840014646,2.9012402326747715,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,ETHUSDT,crypto_60m_bybit_TEST.parquet
60,60m,target_log_ret_horizon_3,3,3.0,22537,-4.141714367509096e-05,0.012578387829040121,-0.161819591785435,-0.03852196413308634,-0.018939160266570276,-0.00446287870291593,0.00010209436386726655,0.004553526323140778,0.018076898899099064,0.03694721669764824,0.14732719463994892,0.007801684719402262,0.004508363640817909,0.009819757543227958,0.026217483970513714,0.5063673070949993,0.3496028752717753,0.33602520299951194,0.6856280782712872,0.465723033234237,3.1167714180153783,5.025063313923358,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,ETHUSDT,crypto_60m_bybit_TEST.parquet
60,60m,target_log_ret_horizon_5,5,5.0,22537,-6.956389632846697e-05,0.016095501317727877,-0.1590111464280366,-0.05130993955788883,-0.024797824406917357,-0.005906781175997736,7.929194698320893e-05,0.006214760794669527,0.023687224263562467,0.04655051615156345,0.15158254052561765,0.010200267567464096,0.006050357936115418,0.013134399946553292,0.03419679188394433,0.503926875804233,0.37955362293117983,0.3696144118560589,0.7491680347872388,0.5610329680081644,4.07500476548572,6.430149419004803,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,ETHUSDT,crypto_60m_bybit_TEST.parquet
60,60m,target_log_ret_horizon_10,10,10.0,22537,-0.0001412270969637397,0.022709107443387163,-0.18773192154053805,-0.07039451930978677,-0.036420046636911445,-0.008971955323690509,-0.00011041451829629643,0.009199419793471966,0.03523128801823138,0.06289657723729528,0.17697285747697825,0.014860097609292132,0.009087514765371528,0.01957279644813256,0.04895608765238543,0.4961174956737809,0.40990371389270974,0.4121666592714203,0.8220703731641301,0.6751120379819852,5.936605895182715,9.072283686646111,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,ETHUSDT,crypto_60m_bybit_TEST.parquet
60,60m,target_log_ret_horizon_24,24,24.0,22537,-0.0003434509147132027,0.035780949003727636,-0.27481118688354217,-0.10311147412054364,-0.05892598755236909,-0.016085598666758665,-4.723306105222073e-05,0.016269378518283858,0.05637299453316055,0.0967363749667985,0.23263126555031494,0.02442653297112369,0.016167632208367547,0.03342233013879645,0.07451670016051391,0.498691041398589,0.4476194702045525,0.44699826951235744,0.8946177397169099,0.7970004880862581,9.758394826731928,14.294481663292396,2021-11-30 16:00:00+00:00,2024-06-26 16:00:00+00:00,ETHUSDT,crypto_60m_bybit_TEST.parquet
