feature,n_samples,n_bins_used,hie_raw,hie_observed,hie_null_mean,hie_null_std,hie_norm,hie_p_value,global_best_action,global_best_value,global_action_0_success,global_action_1_success,action_0_count,action_1_count,min_bin_size_used,min_action_count_in_bin,reason,hie_rank,z_window,sample,regime,alpha_out,prev_position
bb_pos_20_norm,56640,15,0.002612994350282505,0.5158545197740113,0.5132559199283436,6.052716901714102e-05,0.0025985998456676818,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,13.0,24,full_train,entry,0.5,0
price_pos_in_range_168_norm,56640,15,0.0025776836158192262,0.515819209039548,0.5132394527484895,5.3316149210082484e-05,0.0025797562910585548,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3774,1887,ok,14.0,24,full_train,entry,0.5,0
dist_ema_9_z,56640,15,0.002330508474576276,0.5155720338983051,0.5132447175237058,4.904477105045675e-05,0.002327316374599264,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,15.0,24,full_train,entry,0.5,0
price_pos_in_range_72_norm,56640,15,0.0022951977401131085,0.5155367231638419,0.5132353390683742,4.674605890053142e-05,0.0023013840954677622,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,16.0,24,full_train,entry,0.5,0
dist_to_high_168_sqrt_z,56640,15,0.002259887005649719,0.5155014124293785,0.5132445738305328,4.783571949935432e-05,0.002256838598845734,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,17.0,24,full_train,entry,0.5,0
ema_spread_100_200_z,56640,15,0.002259887005649719,0.5155014124293785,0.513248280270553,6.410395074038722e-05,0.0022531321588254993,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,18.0,24,full_train,entry,0.5,0
price_pos_in_range_24_norm,56640,15,0.00197740112994349,0.5152189265536723,0.5132403859633243,5.031225054162775e-05,0.001978540590347966,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,19.0,24,full_train,entry,0.5,0
ret_accel_72_168_z,56640,15,0.0019420903954802116,0.515183615819209,0.513237650334475,4.379258886729828e-05,0.0019459654847340246,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,20.0,24,full_train,entry,0.5,0
volatility_24_sqrt_z,56640,15,0.001906779661016933,0.5151483050847457,0.5132369294593783,4.987540680485464e-05,0.001911375625367473,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,21.0,24,full_train,entry,0.5,0
log_ret_24_z,56640,15,0.0018714689265536544,0.5151129943502825,0.513239588284931,4.5974587421824315e-05,0.0018734060653514684,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,22.0,24,full_train,entry,0.5,0
NATR_14_z,56640,15,0.0015183615819209795,0.5147598870056498,0.5132316181604721,5.06167244313585e-05,0.0015282688451776494,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,23.0,24,full_train,entry,0.5,0
dist_ema_100_z,56640,15,0.0015183615819208685,0.5147598870056497,0.5132396441058098,5.3126355059121026e-05,0.0015202428998398743,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,24.0,24,full_train,entry,0.5,0
ema_spread_9_21_z,56640,15,0.0011652542372881936,0.514406779661017,0.5132389913928616,4.302276001670454e-05,0.0011677882681554452,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,25.0,24,full_train,entry,0.5,0
ema_slope_21_z,56640,15,0.001129943502824804,0.5143714689265536,0.5132376453439649,4.636398217832249e-05,0.0011338235825887333,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,26.0,24,full_train,entry,0.5,0
bb_width_20_sqrt_z,56640,15,0.001129943502824915,0.5143714689265537,0.5132429756497446,4.2032963971516644e-05,0.0011284932768090838,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,27.0,24,full_train,entry,0.5,0
body_sqrt_z,56640,15,0.0008474576271186862,0.5140889830508475,0.5132372234248641,4.4060622212803506e-05,0.0008517596259833837,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,28.0,24,full_train,entry,0.5,0
ema_slope_50_z,56640,15,0.0006355932203390147,0.5138771186440678,0.5132454636652954,5.659677845038466e-05,0.000631654978772378,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,29.0,24,full_train,entry,0.5,0
ema_slope_200_z,56640,15,0.0006002824858757361,0.5138418079096045,0.5132477759922447,4.306059007236544e-05,0.0005940319173598496,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,30.0,24,full_train,entry,0.5,0
dist_ema_200_z,56640,15,0.0005649717514124575,0.5138064971751413,0.51324700133625,4.4939014565914126e-05,0.0005594958388912552,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,31.0,24,full_train,entry,0.5,0
ema_slope_100_z,56640,15,0.0004590395480226217,0.5137005649717514,0.5132395761944502,4.643670374522373e-05,0.0004609887773012744,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,32.0,24,full_train,entry,0.5,0
vol_expansion_72_log1p_z,56640,15,0.0003531073446327859,0.5135946327683616,0.5132385606594592,4.2887845001514986e-05,0.0003560721089024277,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,33.0,24,full_train,entry,0.5,0
range_sqrt_z,56640,15,0.0003531073446327859,0.5135946327683616,0.5132437879896478,5.311439432094361e-05,0.00035084477871383246,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,34.0,24,full_train,entry,0.5,0
dist_to_low_168_sqrt_z,56640,15,0.00021186440677967155,0.5134533898305085,0.5132436435587384,6.797545324759657e-05,0.00020974627177006155,0.01,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,35.0,24,full_train,entry,0.5,0
log_ret_6_z,56640,15,0.0001412429378532254,0.513382768361582,0.5132426831545509,4.490619518092425e-05,0.00014008520703112648,0.0,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,36.0,24,full_train,entry,0.5,0
dist_to_low_24_sqrt_z,56640,15,7.062146892644616e-05,0.5133121468926553,0.5132328645764273,5.161975516746222e-05,7.928231622800208e-05,0.06,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,37.0,24,full_train,entry,0.5,0
ema_spread_21_50_z,56640,15,7.062146892655718e-05,0.5133121468926554,0.5132345966535231,4.7269680160460395e-05,7.755023913225134e-05,0.04,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,38.0,24,full_train,entry,0.5,0
dist_to_high_24_sqrt_z,56640,15,7.062146892655718e-05,0.5133121468926554,0.5132454605933613,5.206596371534139e-05,6.6686299294072e-05,0.14,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,39.0,24,full_train,entry,0.5,0
volatility_72_sqrt_z,56640,15,3.531073446327859e-05,0.5132768361581921,0.5132388508929666,5.440775465088313e-05,3.7985265225470854e-05,0.21,0,0.5132415254237288,0.5132415254237288,0.4510593220338983,28320,28320,3776,1888,ok,40.0,24,full_train,entry,0.5,0
