feature,spearman_corr,abs_spearman_corr,n_obs,corr_rank,z_window
ema_slope_100_z,-0.0004922934679752275,0.0004922934679752275,28080,54,72
range_sqrt_z,0.042159386850999986,0.042159386850999986,27960,1,96
vol_ratio_24_log1p_z,0.04058986414809126,0.04058986414809126,27960,2,96
vol_expansion_72_log1p_z,0.040208097259238434,0.040208097259238434,27960,3,96
vol_ratio_72_log1p_z,0.04009869572322886,0.04009869572322886,27960,4,96
vol_expansion_168_log1p_z,0.03598456630043983,0.03598456630043983,27960,5,96
vol_expansion_24_log1p_z,0.03504109656144187,0.03504109656144187,27960,6,96
body_sqrt_z,0.033923165795228076,0.033923165795228076,27960,7,96
vol_ratio_168_log1p_z,0.029936407381641685,0.029936407381641685,27960,8,96
NATR_14_z,0.02916616611622389,0.02916616611622389,27960,9,96
dist_to_high_168_sqrt_z,0.029024354254826364,0.029024354254826364,27960,10,96
log_ret_6_z,-0.027960565914266333,0.027960565914266333,27960,11,96
log_ret_168_z,0.027923255601241852,0.027923255601241852,27960,12,96
ADX_14_scaled,0.02749625039945038,0.02749625039945038,27960,13,96
ret_accel_72_168_z,-0.027282312824524223,0.027282312824524223,27960,14,96
bb_width_20_sqrt_z,0.022250007704219924,0.022250007704219924,27960,15,96
ADX_30_scaled,0.02125794633558557,0.02125794633558557,27960,16,96
volatility_168_sqrt_z,0.01927064445346121,0.01927064445346121,27960,17,96
MOM_pct_14_z,0.019261458054282005,0.019261458054282005,27960,18,96
ret_accel_24_72_z,0.018823937227996208,0.018823937227996208,27960,19,96
ema_slope_21_z,0.017863692180957146,0.017863692180957146,27960,20,96
dist_ema_9_z,-0.0176416033124631,0.0176416033124631,27960,21,96
dist_to_low_24_sqrt_z,0.01750434885360358,0.01750434885360358,27960,22,96
MACD_hist_pct_z,0.01614130093708627,0.01614130093708627,27960,23,96
ema_spread_9_21_z,0.015842211793210072,0.015842211793210072,27960,24,96
volatility_72_sqrt_z,-0.015028720608779984,0.015028720608779984,27960,25,96
volatility_24_sqrt_z,0.014857175085719907,0.014857175085719907,27960,26,96
MOM_pct_72_z,-0.013383669515243099,0.013383669515243099,27960,27,96
log_ret_72_z,-0.013374041269397346,0.013374041269397346,27960,28,96
ADX_72_scaled,0.012738171873918016,0.012738171873918016,27960,29,96
dist_to_high_72_sqrt_z,0.012046959403297752,0.012046959403297752,27960,30,96
ret_accel_6_24_z,-0.010942788563036956,0.010942788563036956,27960,31,96
ema_slope_9_z,0.01068563894922435,0.01068563894922435,27960,32,96
dist_to_low_72_sqrt_z,-0.00980707868461494,0.00980707868461494,27960,33,96
ema_slope_200_z,0.00840864127439771,0.00840864127439771,27960,34,96
price_pos_in_range_72_norm,-0.007549854456414929,0.007549854456414929,27960,35,96
log_ret_24_z,0.007399676912541816,0.007399676912541816,27960,36,96
RSI_30_bounded,-0.006982301694695007,0.006982301694695007,27960,37,96
RSI_14_bounded,-0.006475134223479131,0.006475134223479131,27960,38,96
ema_slope_50_z,0.006142769546052321,0.006142769546052321,27960,39,96
MOM_pct_30_z,0.005735866370655553,0.005735866370655553,27960,40,96
bb_pos_20_norm,-0.005644641476292709,0.005644641476292709,27960,41,96
ema_slope_100_z,0.005441759374078438,0.005441759374078438,27960,42,96
dist_to_low_168_sqrt_z,0.004482462006933399,0.004482462006933399,27960,43,96
price_pos_in_range_24_norm,0.003892007435100766,0.003892007435100766,27960,44,96
dist_ema_200_z,0.0038609168560884916,0.0038609168560884916,27960,45,96
ema_spread_50_100_z,-0.0035781495633897932,0.0035781495633897932,27960,46,96
RSI_72_bounded,-0.003571911997502815,0.003571911997502815,27960,47,96
ema_spread_21_50_z,-0.0029921252663477034,0.0029921252663477034,27960,48,96
price_pos_in_range_168_norm,0.0025032971864702345,0.0025032971864702345,27960,49,96
ema_spread_100_200_z,0.0014165048796924457,0.0014165048796924457,27960,50,96
dist_ema_21_z,0.0013263191776887375,0.0013263191776887375,27960,51,96
dist_to_high_24_sqrt_z,0.0009699855035884213,0.0009699855035884213,27960,52,96
dist_ema_50_z,-0.0006567132808519061,0.0006567132808519061,27960,53,96
dist_ema_100_z,-0.00019868672761578116,0.00019868672761578116,27960,54,96
