z_window,feature,stability_count,median_union_rank,mean_union_rank,min_union_rank,median_best_rank,median_mean_rank,median_best_hie_norm,mean_best_hie_norm,median_best_p_value,median_regime_coverage_topk,n_entry_source,n_exit_source,n_both_tie_source,samples_seen,full_train_union_rank,full_train_best_rank,full_train_best_hie_norm,full_train_best_p_value,full_train_regime_coverage_topk,full_train_union_rank_filled,full_train_best_rank_filled,full_train_best_hie_norm_filled,full_train_regime_coverage_topk_filled,stable_hie_rank_within_z,is_stable_ge2,stability_rate,stability_top_k
96,bb_width_20_sqrt_z,1,4.0,4.0,4,3.0,4.5,0.022348181578765614,0.022348181578765614,0.0,2.0,1,0,0,early_train,10.0,6.0,0.008008308553764332,0.0,1.0,10.0,6.0,0.008008308553764332,1.0,14,False,0.3333333333333333,14
96,price_pos_in_range_168_norm,1,4.0,4.0,4,3.0,11.5,0.026250967063516706,0.026250967063516706,0.0,1.0,0,1,0,mid_train,,,,,,10000.0,10000.0,-inf,0.0,15,False,0.3333333333333333,14
96,dist_ema_9_z,1,5.0,5.0,5,3.0,11.5,0.016458738883043944,0.016458738883043944,0.0,1.0,1,0,0,mid_train,13.0,8.0,0.00529066138796741,0.0,1.0,13.0,8.0,0.00529066138796741,1.0,16,False,0.3333333333333333,14
96,price_pos_in_range_24_norm,1,8.0,8.0,8,5.0,7.5,0.030303489127662453,0.030303489127662453,0.0,2.0,1,0,0,late_train,,,,,,10000.0,10000.0,-inf,0.0,17,False,0.3333333333333333,14
96,dist_ema_21_z,1,7.0,7.0,7,5.0,5.0,0.020279397622752937,0.020279397622752937,0.0,2.0,0,0,1,mid_train,,,,,,10000.0,10000.0,-inf,0.0,18,False,0.3333333333333333,14
96,RSI_30_bounded,1,7.0,7.0,7,5.0,12.0,0.013871979830143766,0.013871979830143766,0.0,1.0,1,0,0,early_train,11.0,7.0,0.006211838125666835,0.0,2.0,11.0,7.0,0.006211838125666835,2.0,19,False,0.3333333333333333,14
96,dist_to_low_72_sqrt_z,1,8.0,8.0,8,6.0,9.5,0.019191884136736947,0.019191884136736947,0.0,2.0,0,1,0,mid_train,,,,,,10000.0,10000.0,-inf,0.0,20,False,0.3333333333333333,14
96,ema_spread_50_100_z,1,9.0,9.0,9,6.0,13.5,0.015813773119285113,0.015813773119285113,0.0,1.0,1,0,0,mid_train,,,,,,10000.0,10000.0,-inf,0.0,21,False,0.3333333333333333,14
96,RSI_72_bounded,1,10.0,10.0,10,7.0,9.5,0.0171663465111494,0.0171663465111494,0.0,2.0,1,0,0,mid_train,1.0,1.0,0.01105323689439952,0.0,2.0,1.0,1.0,0.01105323689439952,2.0,22,False,0.3333333333333333,14
96,dist_ema_100_z,1,11.0,11.0,11,8.0,10.5,0.019406805724023868,0.019406805724023868,0.0,2.0,0,1,0,early_train,,,,,,10000.0,10000.0,-inf,0.0,23,False,0.3333333333333333,14
96,log_ret_6_z,1,12.0,12.0,12,8.0,9.0,0.018471860357475722,0.018471860357475722,0.0,2.0,0,1,0,mid_train,,,,,,10000.0,10000.0,-inf,0.0,24,False,0.3333333333333333,14
96,dist_to_high_72_sqrt_z,1,12.0,12.0,12,8.0,12.0,0.0246378645009504,0.0246378645009504,0.0,1.0,0,1,0,late_train,,,,,,10000.0,10000.0,-inf,0.0,25,False,0.3333333333333333,14
96,ema_slope_100_z,1,13.0,13.0,13,9.0,15.5,0.019341013692201203,0.019341013692201203,0.0,1.0,0,1,0,early_train,,,,,,10000.0,10000.0,-inf,0.0,26,False,0.3333333333333333,14
96,ema_spread_9_21_z,1,14.0,14.0,14,9.0,20.0,0.018202267837995667,0.018202267837995667,0.0,1.0,0,1,0,mid_train,,,,,,10000.0,10000.0,-inf,0.0,27,False,0.3333333333333333,14
96,ema_slope_200_z,1,14.0,14.0,14,10.0,23.5,0.028261366942850363,0.028261366942850363,0.0,1.0,1,0,0,late_train,,,,,,10000.0,10000.0,-inf,0.0,28,False,0.3333333333333333,14
