feature,entry_rank,entry_hie_norm,entry_p_value,entry_hie_observed,entry_hie_null_mean,exit_rank,exit_hie_norm,exit_p_value,exit_hie_observed,exit_hie_null_mean,best_rank,mean_rank,best_hie_norm,best_p_value,regime_coverage_topk,best_regime_source,union_rank,z_window,sample,alpha_out
price_pos_in_range_168_norm,14.0,0.0025797562910585548,0.0,0.515819209039548,0.5132394527484895,16.0,0.003839927205119109,0.0,0.48940677966101703,0.4855668524558979,14.0,15.0,0.003839927205119109,0.0,1,entry,21,24,full_train,0.5
bb_width_20_sqrt_z,27.0,0.0011284932768090838,0.0,0.5143714689265537,0.5132429756497446,15.0,0.004160096896635157,0.0,0.48972457627118643,0.48556447937455127,15.0,21.0,0.004160096896635157,0.0,0,exit,22,24,full_train,0.5
dist_ema_9_z,15.0,0.002327316374599264,0.0,0.5155720338983051,0.5132447175237058,52.0,-5.59800574428948e-06,0.48,0.4855579096045197,0.485563507610264,15.0,33.5,0.002327316374599264,0.0,0,entry,23,24,full_train,0.5
dist_ema_200_z,31.0,0.0005594958388912552,0.0,0.5138064971751413,0.51324700133625,17.0,0.0036893864731886716,0.0,0.48926553672316386,0.4855761502499752,17.0,24.0,0.0036893864731886716,0.0,0,exit,24,24,full_train,0.5
dist_to_high_168_sqrt_z,17.0,0.002256838598845734,0.0,0.5155014124293785,0.5132445738305328,38.0,0.0013952099596720724,0.0,0.48697033898305075,0.4855751290233787,17.0,27.5,0.002256838598845734,0.0,0,entry,25,24,full_train,0.5
ema_spread_9_21_z,25.0,0.0011677882681554452,0.0,0.514406779661017,0.5132389913928616,18.0,0.0036645610997588784,0.0,0.4892302259887006,0.4855656648889417,18.0,21.5,0.0036645610997588784,0.0,0,exit,26,24,full_train,0.5
price_pos_in_range_24_norm,19.0,0.001978540590347966,0.0,0.5152189265536723,0.5132403859633243,46.0,0.0005237064738150554,0.0,0.48608757062146896,0.4855638641476539,19.0,32.5,0.001978540590347966,0.0,0,entry,27,24,full_train,0.5
vol_ratio_168_log1p_z,45.0,1.6742399044922252e-07,0.5,0.5132415254237287,0.5132413579997382,20.0,0.0031878570343431,0.0,0.48877118644067796,0.48558332940633486,20.0,32.5,0.0031878570343431,0.0,0,exit,28,24,full_train,0.5
ret_accel_72_168_z,20.0,0.0019459654847340246,0.0,0.515183615819209,0.513237650334475,35.0,0.0016756589361696106,0.0,0.48725282485875704,0.48557716592258743,20.0,27.5,0.0019459654847340246,0.0,0,entry,29,24,full_train,0.5
vol_ratio_72_log1p_z,50.0,-2.5265401230045725e-06,0.52,0.5132415254237288,0.5132440519638518,21.0,0.0031821795997351576,0.0,0.48877118644067796,0.4855890068409428,21.0,35.5,0.0031821795997351576,0.0,0,exit,30,24,full_train,0.5
volatility_24_sqrt_z,21.0,0.001911375625367473,0.0,0.5151483050847457,0.5132369294593783,22.0,0.0031175118174093797,0.0,0.48870056497175135,0.48558305315434197,21.0,21.5,0.0031175118174093797,0.0,0,entry,31,24,full_train,0.5
log_ret_24_z,22.0,0.0018734060653514684,0.0,0.5151129943502825,0.513239588284931,43.0,0.0006226421499943569,0.0,0.4861935028248587,0.4855708606748643,22.0,32.5,0.0018734060653514684,0.0,0,entry,32,24,full_train,0.5
ema_slope_21_z,26.0,0.0011338235825887333,0.0,0.5143714689265536,0.5132376453439649,23.0,0.003092519492731427,0.0,0.4886652542372881,0.4855727347445567,23.0,24.5,0.003092519492731427,0.0,0,exit,33,24,full_train,0.5
dist_ema_100_z,24.0,0.0015202428998398743,0.0,0.5147598870056497,0.5132396441058098,24.0,0.0030523429269764257,0.0,0.4886299435028248,0.48557760057584837,24.0,24.0,0.0030523429269764257,0.0,0,both_tie,34,24,full_train,0.5
